The Duration of the packet's flow,Packet header length,Protocol Type,Time-to-Live,Rate of packet transmission,Rate of outbound packets transmission,Rate of inbound packets transmission,"Indication whether FIN flags appear in the traffic (1 for true, 0 otherwise)","Indication whether SYN flags appear in the traffic (1 for true, 0 otherwise)","Indication whether RST flags appear in the traffic (1 for true, 0 otherwise)","Indication whether PSH flags appear in the traffic (1 for true, 0 otherwise)","Indication whether ACK flags appear in the traffic (1 for true, 0 otherwise)","Indication whether ECE flags appear in the traffic (1 for true, 0 otherwise)","Indication whether CWR flags appear in the traffic (1 for true, 0 otherwise)",Number of packets with an ACK flag,Number of packets with a SYN flag,Number of packets with a FIN flag,Number of packets with an URG flag,Number of packets with an RST flag,"Indication whether the application layer protocol is HTTP (1 for true, 0 otherwise)","Indication whether the application layer protocol is HTTPS (1 for true, 0 otherwise)","Indication whether the application layer protocol is DNS (1 for true, 0 otherwise)","Indication whether the application layer protocol is Telnet (1 for true, 0 otherwise)","Indication whether the application layer protocol is SMTP (1 for true, 0 otherwise)","Indication whether the application layer protocol is SSH (1 for true, 0 otherwise)","Indication whether the application layer protocol is IRC (1 for true, 0 otherwise)","Indication whether the transport layer protocol is TCP (1 for true, 0 otherwise)","Indication whether the transport layer protocol is UDP (1 for true, 0 otherwise)","Indication whether the application layer protocol is DHCP (1 for true, 0 otherwise)","Indication whether the link layer protocol is ARP (1 for true, 0 otherwise)","Indication whether the network layer protocol is ICMP (1 for true, 0 otherwise)","Indication whether the network layer protocol is IP (1 for true, 0 otherwise)","Indication whether the link layer protocol is LLC (1 for true, 0 otherwise)",Tot sum,Minimum packet length in the flow,Maximum packet length in the flow,Average packet length in the flow,Standard deviation of packet length,Tot size,The time difference between two consecutive packets,The total number of packets,Magnitude (calculated as the mean of the average lengths of incoming and outgoing packets in the flow),Radius (calculated as the averaged variances of packet lengths for incoming and outgoing packets),Covariance (covariance of the lengths of incoming and outgoing packets),Variance (calculated as the ratio of variances in packet lengths between incoming and outgoing packets),Weight (calculated as the product of the counts of incoming and outgoing packets),label
1.9021243572235107,383723.7,6.0,130.8,174.27721599017883,174.27721599017883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.9,330.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5040.7,225.5,1514.0,989.1859126984128,619.3002996076166,794.9,0.0010354042053222,5.5,44.254451873796015,875.8228828868123,427251.1567363789,0.9,38.5,BenignTraffic
60.73716335296631,2837.2,11.1,76.8,209722.53011023704,209722.53011023704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2261.3,50.0,345.0,144.63270712775358,102.77842920284137,189.6,166517098.90589398,13.5,16.985099108627495,145.60888939596757,10610.11361253521,1.0,244.6,BenignTraffic
0.1737018346786499,564.5,8.2,63.5,33.83108070098903,33.83108070098903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,1.3,0.0,0.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1577.7,50.0,387.3,100.2780645657232,86.15049430616754,132.6,166518748.88697368,13.5,14.154848218292395,122.15648052226744,7921.358194169225,1.0,244.6,BenignTraffic
307.8547816991806,9375.8,5.9,65.7,0.5216491378278287,0.5216491378278287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,56.3,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,545.1,73.9,214.0,115.71138888888888,49.3213302580804,86.8,0.044061803817749,5.5,15.04210844989206,69.7508941652598,2750.2213457892417,0.9,38.5,BenignTraffic
33.08063795566559,557290.0,7.1,123.0,29.85590823245243,29.85590823245243,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2,0.0,639.7,1025.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12468.3,980.0,2866.0,2420.404007936508,761.5767753780518,1890.7,0.0025022983551025,5.5,69.40730597954732,1077.032204528009,835743.2504266661,0.7,38.5,BenignTraffic
26.31687276363373,902214.7,7.1,83.1,88.56054456549113,88.56054456549113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,118.9,933.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10108.1,66.0,2238.0,612.408090127107,808.4964528819127,1614.5,166521913.685611,13.5,34.41226157901747,1147.210232512287,705833.2887756627,1.0,244.6,BenignTraffic
0.2110309600830078,5325.1,6.0,64.0,87.59457980396523,87.59457980396523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.6,17.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5306.1,66.0,1317.0,321.3101915151412,409.8407083480144,871.6,166521592.3231097,13.5,24.71400158087781,575.1455033400779,192543.4701697288,1.0,244.6,BenignTraffic
30.95525660514832,738418.2,7.1,83.1,68.19177792543985,68.19177792543985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,127.8,900.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6203.8,156.0,1523.0,988.2935714285712,573.1532676432844,1393.0,0.0028856992721557,5.5,43.48255929137882,810.5611244195891,367583.5526819728,0.9,38.5,BenignTraffic
16.259826350212098,858569.0,7.6,57.6,74.32363553319213,74.32363553319213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,25.9,739.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4390.2,50.8,1077.4,597.3692857142858,486.5790192592679,1076.6,0.0063518047332763,5.5,31.4021983848158,688.126648202656,337792.4775028345,0.9,38.5,BenignTraffic
29.57208173274994,100312.5,8.2,64.0,59.141076915996905,59.141076915996905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,9.7,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1271.1,50.0,788.7,220.0315873015873,263.7513290459315,197.8,0.003816795349121,5.5,20.381547311692085,373.0007066306852,86972.38573670949,0.9,38.5,BenignTraffic
